    year specfp_normalized
    2003 11.554562
    2003 11.776112
    2003 11.925507
    2003 11.933102
    2003 11.995867
    2003 12.060449
    2003 3.095230
    2003 3.408989
    2003 3.597175
    2003 3.813894
    2003 4.061942
    2003 4.065025
    2003 4.084704
    2003 4.150893
    2003 4.284535
    2003 4.390450
    2003 4.675136
    2003 4.782147
    2003 4.824381
    2003 4.824381
    2003 4.883184
    2003 4.902254
    2003 4.940367
    2003 4.944903
    2003 4.964923
    2003 4.967383
    2003 4.967383
    2003 5.002388
    2003 5.165058
    2003 5.175591
    2003 5.209032
    2003 5.214393
    2003 5.226287
    2003 5.286707
    2003 5.352156
    2003 5.352156
    2003 5.384045
    2003 5.394183
    2003 5.399167
    2003 5.442902
    2003 5.442902
    2003 5.445604
    2003 5.467401
    2003 5.467401
    2003 5.518029
    2003 5.518029
    2003 5.569998
    2003 5.569998
    2003 5.639255
    2003 5.682861
    2003 5.715441
    2003 5.725054
    2003 5.742295
    2003 5.812027
    2003 5.828668
    2003 5.830038
    2003 5.845088
    2003 5.875117
    2003 5.908559
    2003 5.930474
    2003 5.958946
    2003 5.961845
    2003 6.018775
    2003 6.061092
    2003 6.077558
    2003 6.085538
    2003 6.120813
    2003 6.125289
    2003 6.163699
    2003 6.178351
    2003 6.182431
    2003 6.189271
    2003 6.204981
    2003 6.212401
    2003 6.212401
    2003 6.244506
    2003 6.267456
    2003 6.352131
    2003 6.353666
    2003 6.360485
    2003 6.394467
    2003 6.451454
    2003 6.460129
    2003 6.511065
    2003 6.527139
    2003 6.534368
    2003 6.568785
    2003 6.630362
    2003 6.636058
    2003 6.636071
    2003 6.642979
    2003 6.662693
    2003 6.677418
    2003 6.679362
    2003 6.694926
    2003 6.712206
    2003 6.759494
    2003 6.791978
    2003 6.800528
    2003 6.830953
    2003 6.841651
    2003 6.865092
    2003 6.889903
    2003 6.955291
    2003 7.048227
    2003 7.075338
    2003 7.090451
    2003 7.173119
    2003 7.193303
    2003 7.308958
    2003 7.410284
    2003 7.522668
    2003 7.759158
    2003 7.874331
    2003 7.887688
    2003 7.904711
    2003 7.916139
    2003 7.933381
    2003 7.955777
    2003 7.973390
    2003 8.108627
    2003 8.174120
    2003 8.345502
    2003 8.351187
    2003 8.388004
    2003 8.473818
    2003 8.522102
    2003 8.921747
    2003 9.048329
    2004 10.212663
    2004 10.413064
    2004 10.558525
    2004 10.578346
    2004 10.691384
    2004 10.706908
    2004 10.809251
    2004 10.836175
    2004 10.930408
    2004 11.231359
    2004 11.517108
    2004 11.517108
    2004 12.006522
    2004 12.006522
    2004 12.234717
    2004 12.581706
    2004 12.619334
    2004 12.886160
    2004 12.937078
    2004 13.367840
    2004 14.167139
    2004 14.407996
    2004 14.434028
    2004 14.452644
    2004 14.526975
    2004 14.586531
    2004 14.633960
    2004 14.721511
    2004 14.985102
    2004 15.144789
    2004 15.352558
    2004 3.861530
    2004 5.397807
    2004 5.467303
    2004 5.729204
    2004 5.810454
    2004 5.950342
    2004 6.078613
    2004 6.154868
    2004 6.174845
    2004 6.420844
    2004 6.420844
    2004 6.610486
    2004 6.667484
    2004 6.749028
    2004 6.845217
    2004 6.845603
    2004 6.859051
    2004 6.905517
    2004 6.931612
    2004 7.028436
    2004 7.188857
    2004 7.189079
    2004 7.239442
    2004 7.279665
    2004 7.333734
    2004 7.339743
    2004 7.362593
    2004 7.394607
    2004 7.407113
    2004 7.460286
    2004 7.503030
    2004 7.503488
    2004 7.504795
    2004 7.510287
    2004 7.512490
    2004 7.530246
    2004 7.549500
    2004 7.572936
    2004 7.580395
    2004 7.631374
    2004 7.682373
    2004 7.697896
    2004 7.720225
    2004 7.751910
    2004 7.756175
    2004 7.784225
    2004 7.817938
    2004 7.819692
    2004 7.825117
    2004 7.826902
    2004 7.887923
    2004 7.907886
    2004 7.938443
    2004 7.965705
    2004 7.992041
    2004 8.084501
    2004 8.112960
    2004 8.116143
    2004 8.141671
    2004 8.146961
    2004 8.208537
    2004 8.233157
    2004 8.255679
    2004 8.324146
    2004 8.339822
    2004 8.381591
    2004 8.404973
    2004 8.405793
    2004 8.410094
    2004 8.429614
    2004 8.447563
    2004 8.462085
    2004 8.466923
    2004 8.490432
    2004 8.503318
    2004 8.507959
    2004 8.512485
    2004 8.516838
    2004 8.529720
    2004 8.547488
    2004 8.550564
    2004 8.596977
    2004 8.597918
    2004 8.624833
    2004 8.686726
    2004 8.701402
    2004 8.739402
    2004 8.741466
    2004 8.751518
    2004 8.764562
    2004 8.778327
    2004 8.791239
    2004 8.792157
    2004 8.800915
    2004 8.880105
    2004 8.931395
    2004 9.004626
    2004 9.018599
    2004 9.024721
    2004 9.028338
    2004 9.162490
    2004 9.203411
    2004 9.212058
    2004 9.247463
    2004 9.259539
    2004 9.268263
    2004 9.295233
    2004 9.329844
    2004 9.354429
    2004 9.444497
    2004 9.598048
    2004 9.625883
    2004 9.657825
    2004 9.732682
    2004 9.855931
    2004 9.935271
    2005 10.016328
    2005 10.035765
    2005 10.051351
    2005 10.051351
    2005 10.056425
    2005 10.067454
    2005 10.070640
    2005 10.071031
    2005 10.072656
    2005 10.072670
    2005 10.074502
    2005 10.076741
    2005 10.087985
    2005 10.088922
    2005 10.091714
    2005 10.124403
    2005 10.177008
    2005 10.181994
    2005 10.187134
    2005 10.188800
    2005 10.189045
    2005 10.191579
    2005 10.195706
    2005 10.200321
    2005 10.202875
    2005 10.217868
    2005 10.219383
    2005 10.233499
    2005 10.238581
    2005 10.243422
    2005 10.262582
    2005 10.267160
    2005 10.285626
    2005 10.293213
    2005 10.294478
    2005 10.322573
    2005 10.330328
    2005 10.335332
    2005 10.346379
    2005 10.348807
    2005 10.361182
    2005 10.372551
    2005 10.375762
    2005 10.381040
    2005 10.396419
    2005 10.415193
    2005 10.419378
    2005 10.422300
    2005 10.436002
    2005 10.438662
    2005 10.452020
    2005 10.458729
    2005 10.477910
    2005 10.487953
    2005 10.504745
    2005 10.525300
    2005 10.530529
    2005 10.536110
    2005 10.539173
    2005 10.540772
    2005 10.543485
    2005 10.564126
    2005 10.570748
    2005 10.572983
    2005 10.647084
    2005 10.692981
    2005 10.702841
    2005 10.704417
    2005 10.715541
    2005 10.723279
    2005 10.725131
    2005 10.734299
    2005 10.736695
    2005 10.740614
    2005 10.745733
    2005 10.763511
    2005 10.766779
    2005 10.770048
    2005 10.776189
    2005 10.778615
    2005 10.787226
    2005 10.802163
    2005 10.807010
    2005 10.840053
    2005 10.853716
    2005 10.874812
    2005 10.882458
    2005 10.887119
    2005 10.928216
    2005 10.942806
    2005 10.979916
    2005 11.012819
    2005 11.066063
    2005 11.171295
    2005 11.184440
    2005 11.188623
    2005 11.189685
    2005 11.271039
    2005 11.309426
    2005 11.341232
    2005 11.363834
    2005 11.393959
    2005 11.441675
    2005 11.471026
    2005 11.577524
    2005 11.592145
    2005 11.605364
    2005 11.608477
    2005 11.610250
    2005 11.613401
    2005 11.614843
    2005 11.674906
    2005 11.725536
    2005 11.770281
    2005 11.807644
    2005 11.823387
    2005 11.827760
    2005 11.856774
    2005 11.958848
    2005 12.068756
    2005 12.068756
    2005 12.336047
    2005 12.345313
    2005 12.346429
    2005 12.387921
    2005 12.535755
    2005 12.774021
    2005 12.774021
    2005 13.080521
    2005 13.530162
    2005 13.660966
    2005 13.898436
    2005 14.421064
    2005 15.237918
    2005 15.856378
    2005 15.935282
    2005 16.066426
    2005 16.068995
    2005 16.139128
    2005 5.693994
    2005 6.116293
    2005 6.413546
    2005 6.433808
    2005 6.550273
    2005 6.791850
    2005 6.831688
    2005 6.838749
    2005 6.900512
    2005 6.914279
    2005 6.927581
    2005 6.943086
    2005 6.943086
    2005 6.945007
    2005 7.061362
    2005 7.230690
    2005 7.359929
    2005 7.359929
    2005 7.374714
    2005 7.377967
    2005 7.406953
    2005 7.419838
    2005 7.436835
    2005 7.469135
    2005 7.501887
    2005 7.642483
    2005 7.670829
    2005 7.837424
    2005 7.854874
    2005 7.857366
    2005 7.862714
    2005 7.864058
    2005 7.889672
    2005 7.998503
    2005 8.205277
    2005 8.216679
    2005 8.248330
    2005 8.289915
    2005 8.293924
    2005 8.336000
    2005 8.391634
    2005 8.411447
    2005 8.452678
    2005 8.554070
    2005 8.582291
    2005 8.618083
    2005 8.627349
    2005 8.641003
    2005 8.646627
    2005 8.669646
    2005 8.753715
    2005 8.788687
    2005 8.805631
    2005 8.827671
    2005 8.838843
    2005 8.850243
    2005 8.851089
    2005 8.856368
    2005 8.876282
    2005 8.882819
    2005 8.891386
    2005 8.899168
    2005 8.907454
    2005 8.920283
    2005 8.920586
    2005 8.920728
    2005 8.927386
    2005 8.928001
    2005 8.929691
    2005 8.963066
    2005 8.987735
    2005 9.047099
    2005 9.050931
    2005 9.057425
    2005 9.102209
    2005 9.171822
    2005 9.203176
    2005 9.226244
    2005 9.236468
    2005 9.241186
    2005 9.249711
    2005 9.263509
    2005 9.265597
    2005 9.269055
    2005 9.324342
    2005 9.333129
    2005 9.339281
    2005 9.339687
    2005 9.367439
    2005 9.388723
    2005 9.389885
    2005 9.415218
    2005 9.422862
    2005 9.442454
    2005 9.444452
    2005 9.452722
    2005 9.458836
    2005 9.463055
    2005 9.466710
    2005 9.467183
    2005 9.516747
    2005 9.557527
    2005 9.568775
    2005 9.590272
    2005 9.622401
    2005 9.624390
    2005 9.646041
    2005 9.678551
    2005 9.700996
    2005 9.705895
    2005 9.710174
    2005 9.717020
    2005 9.720140
    2005 9.723717
    2005 9.731311
    2005 9.739137
    2005 9.784412
    2005 9.785294
    2005 9.788708
    2005 9.798465
    2005 9.804980
    2005 9.816201
    2005 9.820636
    2005 9.824544
    2005 9.827451
    2005 9.833582
    2005 9.846344
    2005 9.901571
    2005 9.920336
    2005 9.921962
    2005 9.923588
    2005 9.953171
    2005 9.954271
    2005 9.961839
    2005 9.980441
    2005 9.994521
    2006 10.003398
    2006 10.003536
    2006 10.011157
    2006 10.018214
    2006 10.030343
    2006 10.071333
    2006 10.071902
    2006 10.072074
    2006 10.100768
    2006 10.101274
    2006 10.102625
    2006 10.105383
    2006 10.127311
    2006 10.135728
    2006 10.140676
    2006 10.180534
    2006 10.195907
    2006 10.196614
    2006 10.216067
    2006 10.223557
    2006 10.224185
    2006 10.248207
    2006 10.285270
    2006 10.302865
    2006 10.313516
    2006 10.322189
    2006 10.322189
    2006 10.323282
    2006 10.323282
    2006 10.325840
    2006 10.384108
    2006 10.385654
    2006 10.393558
    2006 10.397537
    2006 10.399073
    2006 10.399073
    2006 10.420757
    2006 10.436518
    2006 10.449263
    2006 10.461518
    2006 10.469935
    2006 10.486048
    2006 10.488518
    2006 10.497122
    2006 10.520620
